001,1.941220,0.517464,1.79056,0.46061,
001,1.727333,0.467865,1.75673,0.45788,
002,1.714172,0.464381,1.91546,0.47545,
003,1.699968,0.461033,1.74662,0.44242,
004,1.696725,0.462010,1.83014,0.44485,
005,1.680557,0.455875,1.80776,0.44848,
006,1.125889,0.311528,1.16824,0.30485,
007,0.976940,0.271880,1.15644,0.29909,
008,0.894883,0.251999,1.14285,0.29424,
009,0.833058,0.235809,1.12846,0.28364,
010,0.784533,0.222468,1.18681,0.28848,
011,0.757338,0.215637,1.17727,0.29182,
012,0.534535,0.147311,1.07036,0.26515,
013,0.455858,0.122209,1.07536,0.25606,
014,0.407270,0.107631,1.07832,0.26303,
015,0.373368,0.097763,1.09761,0.26030,
016,0.330798,0.083102,1.09833,0.26061,
017,0.322939,0.080814,1.10009,0.26818,
