001,4.279292,0.955226,3.59766,0.87152,
002,3.468927,0.841553,3.00341,0.74818,
003,3.085746,0.761290,2.73025,0.68939,
004,2.867963,0.714852,2.57058,0.65909,
005,2.718320,0.682368,2.46133,0.62788,
006,2.601686,0.657069,2.44650,0.61909,
007,2.513459,0.636470,2.43718,0.61455,
008,2.453620,0.623317,2.40386,0.60788,
009,2.405313,0.611078,2.32794,0.57970,
010,2.356205,0.599131,2.27556,0.57061,
011,2.331224,0.594327,2.34133,0.58242,
012,2.296728,0.586289,2.22579,0.56606,
013,2.277151,0.580924,2.29793,0.57091,
014,2.262113,0.576078,2.14530,0.55303,
015,2.243790,0.572168,2.29578,0.55455,
